b,a,la,lb
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"timo werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"Werner"
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Timo Werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"timo werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Werner"
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"Sokratis","Timo Werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"Sokratis","timo werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#sokratis>,"Sokratis","Werner"
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Timo Werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"timo werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Werner"
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Timo Werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#levin-oztunali>,"oztunali","timo werner"@en
<http://bk.sport.owl#timo-werner>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Werner"
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#as-roma>,"AS Roma"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#atletico-madrid>,"Atletico Madrid"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#napoli>,"Napoli fc"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#filipe-luis>,"filipe luis"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#filipe-luis>,"Filipe Luis"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#juventus>,"Juventus FC"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#juventus>,"Juventus"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#dani-alves>,"Dani Alves"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#dani-alves>,"dani alves"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#dani-alves>,"Alves","Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#river-plate>,"River Plate"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"Amsterdamsche Football Club Ajax"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#la-liga>,"La Liga"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#giorgio-chiellini>,"giorgio chiellini"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#giorgio-chiellini>,"Giorgio Chiellini"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#giorgio-chiellini>,"Chiellini","Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#manchester-united>,"Manchester United"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#barcelona>,"Barcelona"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#liverpool>,"Liverpool FC"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#liverpool>,"Liverpool"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#malaga>,"Malaga"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#luis-suarez>,"Luis Suarez"@en,"Barcelona"@en
<http://bk.sport.owl#barcelona>,<http://bk.sport.owl#luis-suarez>,"luis suarez"@en,"Barcelona"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#inter-milan>,"Inter Milan"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#bournemouth-fc>,"Bournemouth"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#atletico-madrid>,"Atletico Madrid"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#atletico-madrid-fc>,"Atletico Madrid"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#wayne-rooney>,"Wayne Rooney"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#wayne-rooney>,"Rooney","Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#liverpool-fc>,"Liverpool"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#chelsea>,"Chelsea"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#chelsea>,"Chelsea FC"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#southampton>,"Southampton"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#southampton>,"Southampton FC"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"Amsterdamsche Football Club Ajax"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#anderlecht>,"Anderlecht"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#manchester-united-fc>,"Manchester United"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#bayern-munich>,"Bayern Munich"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#anderlecht-fc>,"Anderlecht"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#southampton-fc>,"Southampton"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#psv-eindhoven>,"PSV Eindhoven"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#bournemouth>,"Bournemouth"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#manchester-united>,"Manchester United"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#real-madrid>,"Real Madrid"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#liverpool>,"Liverpool FC"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#liverpool>,"Liverpool"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#malaga>,"Malaga"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#chelsea-fc>,"Chelsea"@en,"Real Madrid"@en
<http://bk.sport.owl#real-madrid>,<http://bk.sport.owl#amsterdamsche-football-club-ajax-fc>,"Amsterdamsche Football Club Ajax"@en,"Real Madrid"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#sunderland-fc>,"Sunderland"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#sunderland-fc>,"Sunderland"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#chelsea>,"Chelsea"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#chelsea>,"Chelsea"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#chelsea>,"Chelsea FC"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#chelsea>,"Chelsea FC"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#manchester-united-fc>,"Manchester United"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#manchester-united-fc>,"Manchester United"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#david-moyes>,"David Moyes"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#david-moyes>,"David Moyes"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#manchester-united>,"Manchester United"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#manchester-united>,"Manchester United"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#jordan-pickford>,"jordan pickford"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#jordan-pickford>,"jordan pickford"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#jordan-pickford>,"Jordan Pickford"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#jordan-pickford>,"Jordan Pickford"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#sunderland>,"Sunderland"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#sunderland>,"Sunderland"@en,"Jordan Pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#chelsea-fc>,"Chelsea"@en,"jordan pickford"@en
<http://bk.sport.owl#jordan-pickford>,<http://bk.sport.owl#chelsea-fc>,"Chelsea"@en,"Jordan Pickford"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#everton>,"Everton FC"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#everton>,"Everton"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#leicester-city>,"Leicester City"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#chelsea>,"Chelsea"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#chelsea>,"Chelsea FC"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#david-moyes>,"David Moyes"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#manchester-united>,"Manchester United"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#jordan-pickford>,"jordan pickford"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#jordan-pickford>,"Jordan Pickford"@en,"Sunderland"@en
<http://bk.sport.owl#sunderland>,<http://bk.sport.owl#sunderland>,"Sunderland"@en,"Sunderland"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"Marco Reus"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"marco reus"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"Reus","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"Reus","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#marco-reus>,"Reus","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#rb-leipzig>,"RB Leipzig"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#rb-leipzig>,"RB Leipzig"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#rb-leipzig>,"RB Leipzig"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"Yuya Osako"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"Yuya Osako"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"Yuya Osako"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"yuya osako"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"yuya osako"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"yuya osako"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"Osako","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"Osako","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#yuya-osako>,"Osako","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#borussia-dortmund>,"Borussia Dortmund"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#fc-bayern-munich-fc>,"FC Bayern Munich"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#fc-bayern-munich>,"FC Bayern Munich"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#dortmund>,"Dortmund"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#raphael-guerreiro>,"raphael guerreiro"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"Stefan Bell"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"stefan bell"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"Bell","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"Bell","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#stefan-bell>,"Bell","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#dortmund-fc>,"Dortmund"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"sokratis"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"Sokratis"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"Sokratis","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"Sokratis","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#sokratis>,"Sokratis","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"Thomas"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"Thomas"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"Thomas"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"thomas"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"thomas"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"thomas"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"Thomas","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"Thomas","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#thomas>,"Thomas","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"Timo Werner"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"Timo Werner"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"Timo Werner"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"timo werner"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"timo werner"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"timo werner"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"Werner","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"Werner","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#timo-werner>,"Werner","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#levin-oztunali>,"levin oztunali"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#levin-oztunali>,"oztunali","kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#levin-oztunali>,"oztunali","Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#emil-forsberg>,"Emil Forsberg"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#emil-forsberg>,"Emil Forsberg"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#emil-forsberg>,"Emil Forsberg"@en,"Coman"
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#emil-forsberg>,"emil forsberg"@en,"kingsley coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#emil-forsberg>,"emil forsberg"@en,"Kingsley Coman"@en
<http://bk.sport.owl#kingsley-coman>,<http://bk.sport.owl#emil-forsberg>,"emil forsberg"@en,"Coman"
<http://bk.sport.owl#liverpool>,<http://bk.sport.owl#manchester-city>,"Manchester City"@en,"Liverpool FC"@en
<http://bk.sport.owl#liverpool>,<http://bk.sport.owl#manchester-city>,"Manchester City"@en,"Liverpool"@en
<http://bk.sport.owl#liverpool>,<http://bk.sport.owl#wolverhampton-wanderers>,"Wolverhampton Wanderers"@en,"Liverpool FC"@en
<http://bk.sport.owl#liverpool>,<http://bk.sport.owl#wolverhampton-wanderers>,"Wolverhampton Wanderers"@en,"Liverpool"@en
<http://bk.sport.owl#malaga>,<http://bk.sport.owl#barcelona>,"Barcelona"@en,"Malaga"@en
<http://bk.sport.owl#middlesbrough>,<http://bk.sport.owl#crystal-palace>,"Crystal Palace"@en,"Middlesbrough"@en
<http://bk.sport.owl#middlesbrough-fc>,<http://bk.sport.owl#crystal-palace>,"Crystal Palace"@en,"Middlesbrough"@en
<http://bk.sport.owl#middlesbrough-fc>,<http://bk.sport.owl#crystal-palace-fc>,"Crystal Palace"@en,"Middlesbrough"@en
<http://bk.sport.owl#chelsea-fc>,<http://bk.sport.owl#manchester-united-fc>,"Manchester United"@en,"Chelsea"@en
<http://bk.sport.owl#chelsea-fc>,<http://bk.sport.owl#swansea-city-fc>,"Swansea City"@en,"Chelsea"@en
<http://bk.sport.owl#chelsea-fc>,<http://bk.sport.owl#manchester-united>,"Manchester United"@en,"Chelsea"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#as-roma>,"AS Roma"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#as-roma>,"AS Roma"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#atletico-madrid>,"Atletico Madrid"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#atletico-madrid>,"Atletico Madrid"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#napoli>,"Napoli fc"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#napoli>,"Napoli fc"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#filipe-luis>,"filipe luis"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#filipe-luis>,"filipe luis"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#filipe-luis>,"Filipe Luis"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#filipe-luis>,"Filipe Luis"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#juventus>,"Juventus FC"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#juventus>,"Juventus FC"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#juventus>,"Juventus"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#juventus>,"Juventus"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#dani-alves>,"Dani Alves"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#dani-alves>,"Dani Alves"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#dani-alves>,"dani alves"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#dani-alves>,"dani alves"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#dani-alves>,"Alves","Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#dani-alves>,"Alves","luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#river-plate>,"River Plate"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#river-plate>,"River Plate"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"Amsterdamsche Football Club Ajax"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#amsterdamsche-football-club-ajax>,"Amsterdamsche Football Club Ajax"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#la-liga>,"La Liga"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#la-liga>,"La Liga"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#real-sociedad>,"Real Sociedad"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#real-sociedad>,"Real Sociedad"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#real-sociedad-fc>,"Real Sociedad"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#real-sociedad-fc>,"Real Sociedad"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#giorgio-chiellini>,"giorgio chiellini"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#giorgio-chiellini>,"giorgio chiellini"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#giorgio-chiellini>,"Giorgio Chiellini"@en,"Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#giorgio-chiellini>,"Giorgio Chiellini"@en,"luis suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#giorgio-chiellini>,"Chiellini","Luis Suarez"@en
<http://bk.sport.owl#luis-suarez>,<http://bk.sport.owl#giorgio-chiellini>,"Chiellini","luis suarez"@en
